"Afghanistan, Islamic Rep. of",1
"Armenia, Rep. of",7
"Aruba, Kingdom of the Netherlands",8
"Azerbaijan, Rep. of",11
"Bahamas, The",12
"Bahrain, Kingdom of",13
"Belarus, Rep. of",16
Central African Rep.,34
"China, P.R.: Mainland",37
"Comoros, Union of the",39
"Congo, Rep. of",40
Côte d'Ivoire,42
"Croatia, Rep. of",43
Czech Rep.,46
Dominican Rep.,50
"Congo, Dem. Rep. of the",51
"Egypt, Arab Rep. of",53
"Equatorial Guinea, Rep. of",55
"Eritrea, The State of",56
"Estonia, Rep. of",57
"Ethiopia, The Federal Dem. Rep. of",58
"Fiji, Rep. of",59
"Gambia, The",63
"China, P.R.: Hong Kong",75
"Iran, Islamic Rep. of",80
"Kazakhstan, Rep. of",88
"Kosovo, Rep. of",91
Kyrgyz Rep.,93
Lao People's Dem. Rep.,94
"Lesotho, Kingdom of",97
"China, P.R.: Macao",102
"Madagascar, Rep. of",103
"Marshall Islands, Rep. of the",109
"Mauritania, Islamic Rep. of",110
"Micronesia, Federated States of",113
"Moldova, Rep. of",114
"Mozambique, Rep. of",118
"Nauru, Rep. of",121
"Netherlands, The",123
"North Macedonia, Republic of",128
"Palau, Rep. of",132
West Bank and Gaza,133
Philippines,138
"Poland, Rep. of",139
St. Kitts and Nevis,145
St. Lucia,146
St. Vincent and the Grenadines,147
American Samoa,148
"San Marino, Rep. of",149
"São Tomé and Príncipe, Dem. Rep. of",150
"Serbia, Rep. of",153
Slovak Rep.,157
"Slovenia, Rep. of",158
"Korea, Rep. of",162
Syrian Arab Rep.,169
"Tajikistan, Rep. of",171
"Tanzania, United Rep. of",172
"Timor-Leste, Dem. Rep. of",174
"Uzbekistan, Rep. of",188
Vietnam,190
"Yemen, Rep. of",191