Country,Year,CountryID,GDP (USD 2021)
Afghanistan,2020,1,80313888728
Albania,2020,2,41588468378
Algeria,2020,3,501353812776
Angola,2020,4,219373693689
Antigua and Barbuda,2020,5,1894287027
Argentina,2020,6,849906675210
Armenia,2020,7,40169743912
Aruba,2020,8,3255328014
Australia,2020,9,1277303343550
Austria,2020,10,501641542303
Azerbaijan,2020,11,148704822899
Bahamas,2020,12,13018896303
Bahrain,2020,13,75209335225
Bangladesh,2020,14,870615208562
Barbados,2020,15,3980738483
Belarus,2020,16,193339107622
Belgium,2020,17,600512015331
Belize,2020,18,2527928390
Benin,2020,19,42582315649
Bermuda,2020,20,5652452545
Bhutan,2020,21,9637386748
Bolivia,2020,22,99772910340
Bosnia and Herzegovina,2020,23,50279532624
Botswana,2020,24,40412223727
Brazil,2020,25,3459345246262
Brunei Darussalam,2020,26,29305324342
Bulgaria,2020,27,167975650284
Burkina Faso,2020,28,48015498917
Burundi,2020,29,9207709725
Cabo Verde,2020,30,3649015610
Cambodia,2020,31,75117208374
Cameroon,2020,32,98619691428
Canada,2020,33,1830831781799
Central African Republic,2020,34,4824350583
Chad,2020,35,26868306191
Chile,2020,36,465544079558
China,2020,37,30632023101213
Colombia,2020,38,742811190870
Comoros,2020,39,2787493799
Congo,2020,40,19606898570
Costa Rica,2020,41,101527489977
Cote d'Ivoire,2020,42,147542442074
Croatia,2020,43,114287987275
Cuba,2020,44,303000608720
Cyprus,2020,45,36241165091
Czech Republic,2020,46,442329771531
Denmark,2020,47,350149718941
Djibouti,2020,48,5740868093
Dominica,2020,49,824363216.4
Dominican Republic,2020,50,198471685324
DR Congo,2020,51,102484080856
Ecuador,2020,52,196731716844
Egypt,2020,53,1316200815421
El Salvador,2020,54,55719323878
Equatorial Guinea,2020,55,25516174345
Eritrea,2020,56,6586419602
Estonia,2020,57,51137841103
Ethiopia,2020,58,285299802621
Fiji,2020,59,10616048463
Finland,2020,60,280921258722
France,2020,61,2964508660355
Gabon,2020,62,34339959330
Gambia,2020,63,5616107013
Georgia,2020,64,56363708324
Germany,2020,65,4375653684953
Ghana,2020,66,178739241549
Greece,2020,67,320807659735
Grenada,2020,68,1776975071
Guatemala,2020,69,152024099496
Guinea,2020,70,37053283521
Guinea-Bissau,2020,71,4013774870
Guyana,2020,72,15801396185
Haiti,2020,73,34605995170
Honduras,2020,74,55271288489
Hong Kong,2020,75,453824002402
Hungary,2020,76,321222678291
Iceland,2020,77,20299202666
India,2020,78,9558541152473
Indonesia,2020,79,3783544305378
Iran,2020,80,1108916324184
Iraq,2020,81,410207035614
Ireland,2020,82,472969196802
Israel,2020,83,381333093298
Italy,2020,84,2406624042732
Jamaica,2020,85,27805251423
Japan,2020,86,5177253832232
Jordan,2020,87,107326623234
Kazakhstan,2020,88,511391086298
Kenya,2020,89,244665517748
Kiribati,2020,90,286602456.3
Kosovo,2020,91,20631135815
Kuwait,2020,92,207356867893
Kyrgyzstan,2020,93,33589344102
Lao PDR,2020,94,60121846475
Latvia,2020,95,61337401842
Lebanon,2020,96,80519834334
Lesotho,2020,97,5904443687
Liberia,2020,98,7359894944
Libya,2020,99,44581230315
Lithuania,2020,100,110708729809
Luxembourg,2020,101,75408542498
Macao,2020,102,37331981323
Madagascar,2020,103,45776102735
Malawi,2020,104,21372425215
Malaysia,2020,105,920766176238
Maldives,2020,106,7561747406
Mali,2020,107,48140252761
Malta,2020,108,22238421013
Marshall Islands,2020,109,279646183.1
Mauritania,2020,110,24765024689
Mauritius,2020,111,26229921659
Mexico,2020,112,2494168760858
Micronesia,2020,113,428904074
Moldova,2020,114,34523184693
Mongolia,2020,115,40468341566
Montenegro,2020,116,12220806912
Morocco,2020,117,279466152368
Mozambique,2020,118,41665108650
Myanmar,2020,119,302609662419
Namibia,2020,120,23997426438
Nauru,2020,121,162938541.6
Nepal,2020,122,117070799204
Netherlands,2020,123,1022337184301
New Zealand,2020,124,220672087671
Nicaragua,2020,125,36945342009
Niger,2020,126,31087014606
Nigeria,2020,127,1090726913570
North Macedonia,2020,128,35492728181
Norway,2020,129,363493661587
Oman,2020,130,136853357201
Pakistan,2020,131,1066448828482
Palau,2020,132,305955265.3
Palestine,2020,133,27925022745
Panama,2020,134,117957378419
Papua New Guinea,2020,135,39534443036
Paraguay,2020,136,95302382233
Peru,2020,137,399541960834
Philippines,2020,138,937880521267
Poland,2020,139,1318533730553
Portugal,2020,140,356356551520
Qatar,2020,141,267251621917
Romania,2020,142,603389031030
Russian Federation,2020,143,4074663613494
Rwanda,2020,144,30200125270
Saint Kitts and Nevis,2020,145,1222966812
Saint Lucia,2020,146,2466017017
Saint Vincent and the Grenadines,2020,147,1423724594
Samoa,2020,148,1352301689
San Marino,2020,149,1970913174
Sao Tome and Principe,2020,150,859056365.9
Saudi Arabia,2020,151,1884082532512
Senegal,2020,152,60030561916
Serbia,2020,153,135449705628
Seychelles,2020,154,2660116033
Sierra Leone,2020,155,14122947599
Singapore,2020,156,565267462282
Slovakia,2020,157,182035540400
Slovenia,2020,158,82912778161
Solomon Islands,2020,159,1836436641
Somalia,2020,160,4913074769
South Africa,2020,161,775666330552
South Korea,2020,162,2356109487609
Spain,2020,163,1827945790964
Sri Lanka,2020,164,295907782037
Sudan,2020,165,174524461721
Suriname,2020,166,8947466261
Sweden,2020,167,567640641526
Switzerland,2020,168,614360479402
Syrian Arab Republic,2020,169,82268907392
Taiwan,2020,170,1436651363046
Tajikistan,2020,171,35427615580
Tanzania,2020,172,162852362219
Thailand,2020,173,1293728621907
Timor-Leste,2020,174,4608364480
Togo,2020,175,13984880741
Tonga,2020,176,714239434.7
Trinidad and Tobago,2020,177,36218202566
Tunisia,2020,178,123451984566
Turkey,2020,179,2603540049611
Turkmenistan,2020,180,97004254492
Tuvalu,2020,181,53947867.22
Uganda,2020,182,94707331433
Ukraine,2020,183,554957100244
United Arab Emirates,2020,184,663938220241
United Kingdom,2020,185,2655015461934
United States,2020,186,21314066858621
Uruguay,2020,187,75745501449
Uzbekistan,2020,188,257090121924
Vanuatu,2020,189,923576929
Viet Nam,2020,190,859009740227
Yemen,2020,191,63166101952
Zambia,2020,192,64373746555
Zimbabwe,2020,193,41120774667